Date,Open,High,Low,Close,Volume
2025-01-02,100.03,100.05,99.78,99.86,1289176
2025-01-03,99.89,100.61,99.79,99.88,723837
2025-01-04,99.82,100.28,99.8,99.72,1219907
2025-01-05,99.72,99.9,99.25,100.04,705199
2025-01-06,100.1,100.66,99.77,99.85,1465770
2025-01-07,99.81,99.92,99.74,100.2,1182980
2025-01-08,100.27,100.85,99.77,100.66,1002827
2025-01-09,100.67,101.34,100.17,101.03,1161881
2025-01-10,101.08,101.11,100.85,100.95,763833
2025-01-11,100.89,101.03,100.67,101.14,991865
2025-01-12,101.11,101.31,100.89,101.57,1218428
2025-01-13,101.59,101.73,100.98,101.38,1003564
2025-01-14,101.48,102.0,100.93,101.61,1374281
2025-01-15,101.66,101.85,101.58,101.54,914192
2025-01-16,101.48,102.31,100.77,101.47,1224350
2025-01-17,101.45,102.21,101.08,101.36,897302
2025-01-18,101.37,101.59,100.89,101.76,1019520
2025-01-19,101.71,102.58,101.29,101.51,737693
2025-01-20,101.43,102.02,100.79,101.53,750822
2025-01-21,101.51,102.34,101.08,101.99,1388623
2025-01-22,101.9,102.58,101.34,102.11,913460
2025-01-23,102.14,102.23,101.75,102.15,1463052
2025-01-24,102.23,102.44,101.74,101.97,1430102
2025-01-25,102.05,102.29,101.45,102.14,822271
2025-01-26,102.19,102.63,101.5,102.25,700457
2025-01-27,102.21,102.26,101.45,102.64,1365332
2025-01-28,102.6,102.69,101.88,103.09,768522
2025-01-29,103.08,103.14,102.46,103.39,802713
2025-01-30,103.38,103.84,103.16,103.78,1038510
2025-01-31,103.72,104.23,103.11,103.61,949373
2025-02-01,103.72,104.26,103.25,103.71,796803
2025-02-02,103.65,103.99,103.17,103.57,876173
2025-02-03,103.48,104.09,103.29,103.99,1387708
2025-02-04,103.9,104.19,103.34,103.84,805849
2025-02-05,103.93,104.4,103.44,104.15,1345997
2025-02-06,104.09,104.24,103.73,104.17,1073619
2025-02-07,104.22,104.78,103.35,103.92,1022097
2025-02-08,103.89,104.64,103.68,103.75,1058890
2025-02-09,103.73,103.98,103.53,104.18,1054504
2025-02-10,104.26,104.72,104.14,104.68,1368822
2025-02-11,104.78,105.56,103.97,104.49,1088512
2025-02-12,104.43,104.82,104.38,104.47,1488247
2025-02-13,104.42,105.12,104.04,104.49,1465854
2025-02-14,104.59,105.06,103.89,104.28,937366
2025-02-15,104.38,104.86,103.83,104.57,745732
2025-02-16,104.59,105.01,103.86,104.37,1468623
2025-02-17,104.28,104.53,103.79,104.6,888163
2025-02-18,104.52,105.35,104.32,104.76,1195505
2025-02-19,104.75,105.25,104.31,105.21,863407
2025-02-20,105.26,105.46,104.88,105.44,939997
2025-02-21,105.4,106.07,105.34,105.49,1498763
2025-02-22,105.59,105.66,105.31,105.38,1446607
2025-02-23,105.46,106.2,105.06,105.17,1366995
2025-02-24,105.21,105.73,104.34,105.39,706258
2025-02-25,105.45,105.7,104.83,105.84,807432
2025-02-26,105.76,105.93,105.29,105.73,1183863
2025-02-27,105.78,105.95,105.19,105.62,1090825
2025-02-28,105.7,106.42,105.54,105.64,921344
2025-03-01,105.53,106.29,104.99,105.52,1292984
2025-03-02,105.53,105.89,105.51,105.25,1406485
2025-03-03,105.33,105.79,104.54,105.4,818475
2025-03-04,105.32,105.66,104.56,105.73,1388562
2025-03-05,105.82,106.0,105.52,105.48,1324092
2025-03-06,105.56,105.91,104.96,105.27,1443904
2025-03-07,105.35,106.17,104.59,105.68,719829
2025-03-08,105.73,106.01,104.89,106.02,1391251
2025-03-09,106.09,106.31,105.35,105.77,1397733
2025-03-10,105.85,106.04,105.08,105.82,944152
2025-03-11,105.89,106.08,105.8,105.65,962609
2025-03-12,105.73,106.54,105.41,105.85,1019742
2025-03-13,105.95,106.41,105.06,105.61,1476320
